  0.0  0.1  0.2  0.3 
1.3000e+01 7.0322e+00 5.1183e+00 3.8258e+00 2.9249e+00 
1.3100e+01 7.0123e+00 5.1038e+00 3.8149e+00 2.9167e+00 
1.3200e+01 6.9923e+00 5.0893e+00 3.8041e+00 2.9084e+00 
1.3300e+01 6.9723e+00 5.0747e+00 3.7933e+00 2.9001e+00 
1.3400e+01 6.9524e+00 5.0602e+00 3.7824e+00 2.8919e+00 
1.3500e+01 6.9324e+00 5.0457e+00 3.7716e+00 2.8836e+00 
1.3600e+01 6.9124e+00 5.0312e+00 3.7608e+00 2.8753e+00 
1.3700e+01 6.8971e+00 5.0202e+00 3.7527e+00 2.8693e+00 
1.3800e+01 6.8881e+00 5.0141e+00 3.7484e+00 2.8662e+00 
1.3900e+01 6.8792e+00 5.0080e+00 3.7441e+00 2.8631e+00 
1.4000e+01 6.8702e+00 5.0019e+00 3.7398e+00 2.8600e+00 
1.4100e+01 6.8613e+00 4.9957e+00 3.7355e+00 2.8570e+00 
1.4200e+01 6.8523e+00 4.9896e+00 3.7313e+00 2.8539e+00 
1.4300e+01 6.8433e+00 4.9835e+00 3.7270e+00 2.8508e+00 
1.4400e+01 6.8344e+00 4.9774e+00 3.7227e+00 2.8477e+00 
1.4500e+01 6.8255e+00 4.9713e+00 3.7184e+00 2.8447e+00 
1.4600e+01 6.8169e+00 4.9654e+00 3.7143e+00 2.8417e+00 
1.4700e+01 6.8082e+00 4.9595e+00 3.7101e+00 2.8387e+00 
1.4800e+01 6.7996e+00 4.9536e+00 3.7059e+00 2.8357e+00 
1.4900e+01 6.7910e+00 4.9476e+00 3.7018e+00 2.8327e+00 
1.5000e+01 6.7824e+00 4.9417e+00 3.6976e+00 2.8297e+00 
1.5100e+01 6.7737e+00 4.9358e+00 3.6934e+00 2.8266e+00 
1.5200e+01 6.7651e+00 4.9299e+00 3.6893e+00 2.8236e+00 
1.5300e+01 6.7565e+00 4.9240e+00 3.6851e+00 2.8206e+00 
1.5400e+01 6.7481e+00 4.9182e+00 3.6810e+00 2.8177e+00 
1.5500e+01 6.7398e+00 4.9125e+00 3.6770e+00 2.8148e+00 
1.5600e+01 6.7315e+00 4.9067e+00 3.6729e+00 2.8118e+00 
1.5700e+01 6.7233e+00 4.9010e+00 3.6689e+00 2.8089e+00 
1.5800e+01 6.7150e+00 4.8953e+00 3.6649e+00 2.8060e+00 
1.5900e+01 6.7067e+00 4.8896e+00 3.6608e+00 2.8030e+00 
1.6000e+01 6.6984e+00 4.8839e+00 3.6568e+00 2.8001e+00 
1.6100e+01 6.6901e+00 4.8782e+00 3.6527e+00 2.7972e+00 
1.6200e+01 6.6818e+00 4.8724e+00 3.6487e+00 2.7942e+00 
1.6300e+01 6.6738e+00 4.8669e+00 3.6448e+00 2.7914e+00 
1.6400e+01 6.6658e+00 4.8613e+00 3.6408e+00 2.7885e+00 
1.6500e+01 6.6579e+00 4.8558e+00 3.6369e+00 2.7857e+00 
1.6600e+01 6.6499e+00 4.8503e+00 3.6330e+00 2.7828e+00 
1.6700e+01 6.6420e+00 4.8448e+00 3.6291e+00 2.7800e+00 
1.6800e+01 6.6341e+00 4.8393e+00 3.6252e+00 2.7771e+00 
1.6900e+01 6.6261e+00 4.8338e+00 3.6213e+00 2.7743e+00 
1.7000e+01 6.6182e+00 4.8283e+00 3.6174e+00 2.7714e+00 
1.7100e+01 6.6102e+00 4.8228e+00 3.6135e+00 2.7686e+00 
1.7200e+01 6.6023e+00 4.8173e+00 3.6096e+00 2.7657e+00 
1.7300e+01 6.5947e+00 4.8120e+00 3.6058e+00 2.7630e+00 
1.7400e+01 6.5871e+00 4.8067e+00 3.6021e+00 2.7602e+00 
1.7500e+01 6.5795e+00 4.8014e+00 3.5983e+00 2.7575e+00 
1.7600e+01 6.5719e+00 4.7961e+00 3.5945e+00 2.7547e+00 
1.7700e+01 6.5643e+00 4.7908e+00 3.5908e+00 2.7519e+00 
1.7800e+01 6.5567e+00 4.7855e+00 3.5870e+00 2.7492e+00 
1.7900e+01 6.5491e+00 4.7802e+00 3.5832e+00 2.7464e+00 
1.8000e+01 6.5415e+00 4.7749e+00 3.5795e+00 2.7437e+00 
1.8100e+01 6.5339e+00 4.7696e+00 3.5757e+00 2.7409e+00 
1.8200e+01 6.5263e+00 4.7643e+00 3.5719e+00 2.7381e+00 
1.8300e+01 6.5190e+00 4.7592e+00 3.5683e+00 2.7355e+00 
1.8400e+01 6.5117e+00 4.7541e+00 3.5646e+00 2.7328e+00 
1.8500e+01 6.5045e+00 4.7490e+00 3.5610e+00 2.7301e+00 
1.8600e+01 6.4972e+00 4.7439e+00 3.5573e+00 2.7274e+00 
1.8700e+01 6.4899e+00 4.7388e+00 3.5537e+00 2.7248e+00 
1.8800e+01 6.4826e+00 4.7337e+00 3.5500e+00 2.7221e+00 
1.8900e+01 6.4754e+00 4.7286e+00 3.5464e+00 2.7194e+00 
1.9000e+01 6.4681e+00 4.7235e+00 3.5428e+00 2.7167e+00 
1.9100e+01 6.4608e+00 4.7184e+00 3.5391e+00 2.7141e+00 
1.9200e+01 6.4535e+00 4.7133e+00 3.5355e+00 2.7114e+00 
1.9300e+01 6.4463e+00 4.7082e+00 3.5319e+00 2.7087e+00 
1.9400e+01 6.4393e+00 4.7034e+00 3.5284e+00 2.7062e+00 
1.9500e+01 6.4324e+00 4.6985e+00 3.5249e+00 2.7036e+00 
1.9600e+01 6.4254e+00 4.6936e+00 3.5214e+00 2.7010e+00 
1.9700e+01 6.4185e+00 4.6887e+00 3.5179e+00 2.6984e+00 
1.9800e+01 6.4115e+00 4.6838e+00 3.5143e+00 2.6959e+00 
1.9900e+01 6.4046e+00 4.6790e+00 3.5108e+00 2.6933e+00 
